TCID	Gene symbol	GenBank	Fold change	p-value	Gene name
10427035	Nr4a1	NM_010444	6.97	9.90E-04	nuclear receptor subfamily 4, group A, member 1
10464905	Npas4	NM_153553	6.50	1.22E-02	neuronal PAS domain protein 4
10397346	Fos	NM_010234	6.38	1.23E-03	FBJ osteosarcoma oncogene
10583809	Cnn1	NM_009922	6.05	2.43E-03	calponin 1
10482772	Nr4a2	NM_001139509	5.03	1.35E-02	nuclear receptor subfamily 4, group A, member 2
10449284	Dusp1	NM_013642	4.30	5.45E-06	dual specificity phosphatase 1
10350516	Ptgs2	NM_011198	4.18	3.82E-02	prostaglandin-endoperoxide synthase 2
10553501	Slc17a6	NM_080853	3.76	3.45E-02	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6
10560481	Fosb	NM_008036	3.76	2.68E-02	FBJ osteosarcoma oncogene B
10526553	Vgf	NM_001039385	3.60	3.78E-03	VGF nerve growth factor inducible
10536294	Peg10	NM_130877	3.51	3.87E-06	paternally expressed 10
10466587	Rorb	NM_001043354	3.22	7.49E-03	RAR-related orphan receptor beta
10429491	Arc	NM_018790	3.00	7.37E-04	activity regulated cytoskeletal-associated protein
10449741	Sik1	NM_010831	3.00	1.23E-03	salt inducible kinase 1
10402211	Fbln5	NM_011812	2.85	1.31E-02	fibulin 5
10477061	Srxn1	NM_029688	2.84	3.74E-02	sulfiredoxin 1 homolog (S. cerevisiae)
10503334	Gem	NM_010276	2.75	2.03E-02	GTP binding protein (gene overexpressed in skeletal muscle)
10416181	Stc1	NM_009285	2.74	4.22E-02	stanniocalcin 1
10536363	Tac1	NM_009311	2.63	2.49E-02	tachykinin 1
10454782	Egr1	NM_007913	2.55	5.18E-03	early growth response 1
10607467	Sat1	NM_009121	2.52	5.88E-03	spermidine/spermine N1-acetyl transferase 1
10570855	Plat	NM_008872	2.50	1.31E-02	plasminogen activator, tissue
10545041	Nap1l5	NM_021432	2.49	3.78E-03	nucleosome assembly protein 1-like 5
10355960	Scg2	NM_009129	2.44	8.96E-03	secretogranin II
10406229	Pcsk1	NM_013628	2.40	3.53E-02	proprotein convertase subtilisin/kexin type 1
10401841	Dio2	NM_010050	2.40	1.39E-02	deiodinase, iodothyronine, type II
10436456	Pros1	NM_011173	2.39	1.57E-02	protein S (alpha)
10602261	Htr2c	NM_008312	2.31	2.43E-03	5-hydroxytryptamine (serotonin) receptor 2C
10416485	Siah3	NM_001128093	2.30	3.27E-02	seven in absentia homolog 3 (Drosophila)
10353707	Ptp4a1	NM_011200	2.29	1.57E-02	protein tyrosine phosphatase 4a1
10377439	Per1	NM_001159367	2.25	5.88E-03	period homolog 1 (Drosophila)
10461856	Gna14	NM_008137	2.23	4.52E-02	guanine nucleotide binding protein, alpha 14
10467206	Ppp1r3c	NM_016854	2.21	1.14E-02	protein phosphatase 1, regulatory (inhibitor) subunit 3C
10444890	Ier3	NM_133662	2.21	4.21E-02	immediate early response 3
10405179	S1pr3	NM_010101	2.21	7.37E-04	sphingosine-1-phosphate receptor 3
10601569	Pcdh11x	NM_001081385	2.19	3.00E-02	protocadherin 11 X-linked
10355813	Ptprn	NM_008985	2.16	1.52E-02	protein tyrosine phosphatase, receptor type, N
10438730	Sst	NM_009215	2.11	8.96E-03	somatostatin
10409278	Nfil3	NM_017373	2.10	2.49E-02	nuclear factor, interleukin 3, regulated
10405211	Gadd45g	NM_011817	2.06	2.59E-03	growth arrest and DNA-damage-inducible 45 gamma
10500204	Ecm1	NM_007899	2.04	2.36E-02	extracellular matrix protein 1
10424213	Zhx2	NM_199449	2.04	8.74E-03	zinc fingers and homeoboxes 2
10538247	Npy	NM_023456	2.03	4.55E-02	neuropeptide Y
10583071	Mmp3	NM_010809	2.03	7.37E-04	matrix metallopeptidase 3
10498024	Slc7a11	NM_011990	2.02	4.15E-02	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11
10378545	NA	mmu-mir-212	2.01	5.88E-03	NA
10558535	Gpr123	NM_177469	2.00	1.79E-02	G protein-coupled receptor 123
10362073	Sgk1	NM_001161845	2.00	3.69E-02	serum/glucocorticoid regulated kinase 1
10493995	S100a10	NM_009112	2.00	1.35E-02	S100 calcium binding protein A10 (calpactin)
10469322	Vim	NM_011701	1.98	3.45E-03	vimentin
